"player_id","playerName","teamName","G","TPA","AB","H","X1B","X2B","X3B","HR","R","RBI","BB","IBB","K","SB","BBK","BABIP","AVG","OBP","SLG","OPS","RC","RC27","wRC","wOBA","oWAR"
1445,"홍창기","LG",144,651,524,172,140,26,2,4,103,52,109,4,95,23,1.147,0.393,0.328,0.456,0.408,0.864,112.46,8.251141,123.73,0.412,7.1
1479,"이정후","Hero",123,544,464,167,112,42,6,7,78,84,62,1,37,10,1.676,0.373,0.36,0.438,0.522,0.96,112.79,9.606719,112.3,0.429,7.06
1546,"강백호","KT",142,628,516,179,122,40,1,16,76,102,104,10,85,10,1.224,0.385,0.347,0.451,0.521,0.972,130.8,9.892437,132.25,0.434,6.97
560,"최정","SSG",134,555,436,121,68,17,1,35,92,100,84,3,102,8,0.824,0.277,0.278,0.41,0.562,0.972,108.03,8.503819,112.36,0.425,6.83
647,"양의지","NC",141,570,480,156,95,29,2,30,81,111,69,5,60,2,1.15,0.315,0.325,0.414,0.581,0.995,119.17,9.272594,118.95,0.432,6.48
1748,"알테어","NC",143,565,492,134,81,19,2,32,83,84,57,2,156,20,0.365,0.331,0.272,0.358,0.514,0.872,95.74,6.930241,92.94,0.384,4.89
762,"전준우","롯데",144,619,552,192,139,46,0,7,88,92,53,0,71,6,0.746,0.384,0.348,0.405,0.469,0.874,108.12,7.64199,108.56,0.395,4.86
517,"구자욱","삼성",139,610,543,166,104,30,10,22,107,88,48,3,98,27,0.49,0.331,0.306,0.361,0.519,0.88,107.26,7.186154,99.62,0.382,4.48
1569,"정은원","한화",139,608,495,140,107,22,5,6,85,39,105,1,105,19,1,0.346,0.283,0.407,0.384,0.791,85.95,6.075,95.97,0.376,4.41
1855,"추신수","SSG",137,580,461,122,80,19,2,21,84,69,103,4,123,25,0.837,0.315,0.265,0.409,0.451,0.86,95.69,7.17675,101.83,0.396,4.3
675,"김재환*","두산",137,566,475,130,78,23,2,27,86,102,81,3,127,2,0.638,0.316,0.274,0.382,0.501,0.883,94.97,7.083398,97.84,0.393,4.26
672,"박건우","두산",126,525,458,149,110,31,2,6,82,63,50,2,72,13,0.694,0.37,0.325,0.4,0.441,0.841,84.15,6.864199,86.61,0.384,4.24
648,"최재훈","한화",116,467,375,103,75,21,0,7,52,44,72,2,68,3,1.059,0.317,0.275,0.405,0.387,0.792,62.42,5.655503,73.45,0.376,4.15
578,"한유섬","SSG",135,519,442,123,73,18,1,31,71,95,60,4,96,1,0.625,0.287,0.278,0.373,0.534,0.907,90.29,7.233917,91.15,0.396,4.14
738,"강민호","삼성",123,462,406,118,78,22,0,18,55,67,45,4,53,0,0.849,0.292,0.291,0.361,0.478,0.839,67.66,5.836486,70.44,0.37,4.09
1517,"김혜성","Hero",144,635,559,170,144,20,3,3,99,66,65,3,97,46,0.67,0.356,0.304,0.372,0.367,0.739,88.8,5.833577,81.01,0.343,4
1652,"노시환","한화",107,458,380,103,66,18,1,18,56,84,73,9,107,5,0.682,0.328,0.271,0.386,0.466,0.852,69.49,6.296074,73.8,0.38,3.56
127,"안치홍","롯데",119,490,421,129,87,30,2,10,58,82,52,2,59,3,0.881,0.33,0.306,0.379,0.458,0.837,74.17,6.219224,77.19,0.376,3.51
1547,"한동희","롯데",129,496,424,113,72,24,0,17,54,69,61,1,95,0,0.642,0.304,0.267,0.364,0.443,0.807,66.31,5.296953,73.8,0.366,3.32
126,"김선빈","KIA",130,564,501,154,117,32,0,5,55,67,56,2,39,0,1.436,0.323,0.307,0.375,0.401,0.776,74.58,5.413065,79.08,0.357,3.29
836,"나성범","NC",144,623,570,160,97,29,1,33,96,101,38,2,155,1,0.245,0.329,0.281,0.335,0.509,0.844,98.87,6.340831,93.67,0.368,3.19
1541,"박성한","SSG",135,471,407,123,97,21,1,4,53,44,49,0,73,12,0.671,0.358,0.302,0.377,0.388,0.765,65.51,5.818322,65.93,0.357,3.18
1860,"피렐라","삼성",140,621,553,158,102,25,2,29,102,97,57,2,89,9,0.64,0.295,0.286,0.359,0.495,0.854,99.87,6.544879,99.16,0.378,3.16
505,"박해민","삼성",127,542,454,132,104,22,1,5,78,54,69,2,82,36,0.841,0.34,0.291,0.383,0.377,0.76,74.49,5.649522,75.4,0.356,3.11
760,"손아섭","롯데",139,610,542,173,139,29,2,3,88,58,61,3,67,11,0.91,0.359,0.319,0.39,0.397,0.787,84.55,5.794036,90.07,0.365,3.05
1641,"페르난데스","두산",141,617,540,170,131,24,0,15,73,81,65,3,35,0,1.857,0.313,0.315,0.391,0.443,0.834,90.31,6.050546,99,0.379,3.03
752,"정훈","롯데",135,561,486,142,100,27,1,14,70,79,68,8,89,8,0.764,0.332,0.292,0.38,0.438,0.818,86.63,6.588761,84.91,0.369,2.87
214,"박동원","Hero",131,481,413,103,60,21,0,22,61,83,53,0,114,2,0.465,0.289,0.249,0.342,0.46,0.802,66.25,5.420455,68.78,0.36,2.84
135,"이용규","Hero",133,547,459,136,111,16,8,1,88,43,71,2,47,17,1.511,0.324,0.296,0.392,0.373,0.765,77.27,6.100263,78.09,0.36,2.82
829,"노진혁","NC",107,384,330,95,65,22,0,8,41,58,42,0,90,1,0.467,0.37,0.288,0.374,0.427,0.801,56.68,6.220976,57.52,0.367,2.82
668,"김현수","LG",140,595,506,144,103,23,1,17,70,96,77,5,42,3,1.833,0.279,0.285,0.376,0.435,0.811,89.97,6.426429,89.01,0.367,2.78
662,"오재일","삼성",120,484,418,119,74,20,0,25,64,97,58,8,106,1,0.547,0.319,0.285,0.366,0.512,0.878,82.45,7.135096,78.15,0.38,2.77
37,"하주석","한화",138,594,525,143,103,27,3,10,84,68,51,1,135,23,0.378,0.347,0.272,0.346,0.392,0.738,75.75,5.05,73.77,0.339,2.67
1421,"최원준","KIA",143,668,589,174,144,21,5,4,82,44,61,0,68,40,0.897,0.327,0.295,0.37,0.368,0.738,88.54,5.420816,87.49,0.347,2.56
914,"배정대","KT",144,595,510,132,96,23,1,12,85,68,65,2,132,19,0.492,0.323,0.259,0.353,0.378,0.731,73.71,4.950672,74.19,0.34,2.55
748,"황재균","KT",117,507,453,132,104,16,2,10,74,56,46,1,92,11,0.5,0.344,0.291,0.358,0.402,0.76,66.56,5.270147,66.87,0.348,2.53
1750,"마차도","롯데",134,539,466,130,103,21,1,5,83,58,58,1,65,8,0.892,0.31,0.279,0.359,0.361,0.72,64.71,4.85325,65.58,0.337,2.49
663,"최주환","SSG",116,470,406,104,70,16,0,18,50,67,53,4,84,2,0.631,0.281,0.256,0.353,0.429,0.782,64.34,5.567885,64.55,0.354,2.17
911,"양석환","두산",133,546,488,133,83,22,0,28,66,96,42,2,136,2,0.309,0.317,0.273,0.337,0.49,0.827,80.42,5.79024,79.17,0.362,2.06
348,"채은성","LG",110,448,387,107,71,20,0,16,59,82,38,2,80,4,0.475,0.305,0.276,0.359,0.452,0.811,65.24,5.911007,65.72,0.364,2.04
904,"박계범","두산",118,385,322,86,68,12,1,5,44,46,44,0,68,4,0.647,0.321,0.267,0.368,0.357,0.725,45.4,4.76965,49.54,0.344,1.88
790,"장성우","KT",127,460,385,89,62,13,0,14,46,63,60,3,69,1,0.87,0.246,0.231,0.337,0.374,0.711,48.6,4.025153,52.72,0.329,1.87
237,"유한준","KT",103,337,282,87,66,16,0,5,30,42,44,5,34,1,1.294,0.332,0.309,0.409,0.418,0.827,49.75,6.366114,54.51,0.381,1.86
1515,"김태연","한화",53,220,176,53,38,12,0,3,29,34,34,0,44,5,0.773,0.373,0.301,0.418,0.42,0.838,34.73,6.946,37.85,0.392,1.83
369,"유강남","LG",130,441,397,100,73,16,0,11,39,60,25,1,75,2,0.333,0.284,0.252,0.317,0.375,0.692,47.26,4.076741,45.7,0.317,1.69
562,"김성현","SSG",110,274,237,67,46,15,0,6,27,37,29,0,29,5,1,0.296,0.283,0.356,0.422,0.778,36.42,5.258503,37.52,0.353,1.68
315,"오지환","LG",134,532,464,118,90,19,1,8,62,57,54,0,82,12,0.659,0.29,0.254,0.335,0.351,0.686,57.16,4.14871,57.3,0.321,1.63
1757,"최지훈","SSG",136,534,461,121,91,19,6,5,75,46,51,0,71,26,0.718,0.297,0.262,0.342,0.362,0.704,64.17,4.733852,60.73,0.328,1.58
681,"김인태","두산",133,418,344,89,65,15,1,8,51,46,62,0,68,0,0.912,0.298,0.259,0.373,0.378,0.751,51.71,5.058587,57.54,0.354,1.58
554,"이재원","SSG",107,313,271,76,60,13,0,3,29,30,29,4,47,0,0.617,0.327,0.28,0.358,0.362,0.72,33.12,4.083288,36.86,0.332,1.53
575,"이명기","NC",56,232,191,56,42,12,0,2,30,14,37,0,27,6,1.37,0.333,0.293,0.41,0.387,0.797,33.97,6.413916,37.47,0.38,1.51
461,"박석민","NC",59,205,171,44,26,8,0,10,27,41,27,1,43,0,0.628,0.283,0.257,0.361,0.48,0.841,29.18,5.627571,32.07,0.375,1.48
395,"권희동","NC",55,171,133,35,24,3,0,8,25,26,29,1,24,2,1.208,0.26,0.263,0.406,0.466,0.872,28.11,7.160094,30.29,0.397,1.46
227,"서건창","Hero",76,333,278,72,55,12,1,4,45,28,45,2,44,6,1.023,0.292,0.259,0.37,0.353,0.723,38.47,4.657803,42.37,0.343,1.42
1288,"심우준","KT",139,460,407,109,81,20,2,6,61,48,32,0,65,16,0.492,0.301,0.268,0.323,0.371,0.694,53.07,4.449969,47.84,0.317,1.41
1284,"김병희","KT",34,70,52,15,7,3,0,5,16,13,13,0,15,3,0.867,0.313,0.288,0.456,0.635,1.091,17.61,12.191538,17.51,0.477,1.31
1813,"송우현","Hero",69,282,250,74,52,17,2,3,34,42,28,1,49,1,0.571,0.357,0.296,0.37,0.416,0.786,39.75,5.864754,40.22,0.36,1.23
704,"류지혁","KIA",92,327,273,76,66,8,0,2,37,34,42,1,46,0,0.913,0.325,0.278,0.385,0.33,0.715,38.13,4.925885,42.41,0.345,1.17
664,"허경민","두산",136,518,468,130,100,24,1,5,61,59,36,1,35,5,1.029,0.29,0.278,0.338,0.365,0.703,53.09,3.853306,57.4,0.325,1.14
1501,"로맥","SSG",107,421,355,80,49,11,0,20,55,52,59,1,82,1,0.72,0.234,0.225,0.34,0.425,0.765,53.97,5.077317,55.65,0.348,1.12
1291,"김민혁","KT",75,199,172,55,46,6,2,1,22,13,20,0,26,6,0.769,0.372,0.32,0.397,0.395,0.792,28.34,5.977969,30.43,0.371,1.06
1311,"지시완","롯데",73,187,166,40,24,9,0,7,23,26,14,0,54,0,0.259,0.314,0.241,0.319,0.422,0.741,21.53,4.338134,22.43,0.335,1.05
1283,"안중열","롯데",58,157,125,29,21,5,0,3,19,16,27,0,25,0,1.08,0.265,0.232,0.37,0.344,0.714,18.74,5.009703,20.35,0.345,1.04
1148,"이대호","롯데",114,465,420,120,90,11,0,19,39,81,34,3,49,0,0.694,0.282,0.286,0.342,0.448,0.79,63.54,5.394906,62.34,0.35,1.02
1376,"김웅빈","Hero",97,279,232,56,36,13,1,6,24,35,34,2,73,1,0.466,0.323,0.241,0.357,0.384,0.741,35.29,5.206721,35.9,0.344,1.02
1394,"조수행","두산",115,104,84,24,20,2,1,1,34,8,16,0,26,21,0.615,0.404,0.286,0.417,0.369,0.786,17.31,7.081364,16.8,0.38,1.01
659,"이원석","삼성",131,480,399,92,64,19,0,9,40,59,60,2,80,1,0.75,0.261,0.231,0.341,0.346,0.687,51.65,4.251677,52.69,0.324,1.01
897,"박찬호","KIA",131,483,418,103,82,15,5,1,51,59,54,0,73,9,0.74,0.294,0.246,0.331,0.313,0.644,45.87,3.631935,45.67,0.307,0.92
830,"박민우","NC",50,215,180,47,38,5,3,1,30,18,22,0,23,12,0.957,0.291,0.261,0.36,0.339,0.699,25.1,4.641781,25.57,0.334,0.87
571,"김강민","SSG",122,260,223,53,32,12,1,8,43,27,25,1,52,3,0.481,0.271,0.238,0.327,0.408,0.735,31.15,4.621154,30.65,0.332,0.81
680,"장승현","두산",92,211,177,41,29,10,0,2,18,27,19,0,50,0,0.38,0.31,0.232,0.332,0.322,0.654,21.23,3.953172,21.17,0.313,0.74
669,"정수빈","두산",104,351,313,81,55,19,4,3,50,37,29,1,50,12,0.58,0.299,0.259,0.327,0.374,0.701,37.91,4.077968,37.6,0.321,0.72
818,"김태군","NC",102,276,232,51,37,7,0,7,23,24,21,0,30,0,0.7,0.222,0.22,0.311,0.341,0.652,26.59,3.625909,25.69,0.305,0.72
614,"김민식","KIA",100,301,250,55,44,8,0,3,30,26,41,1,49,0,0.837,0.259,0.22,0.336,0.288,0.624,28.41,3.77867,27.89,0.305,0.71
212,"허도환","KT",62,125,105,29,21,6,0,2,8,21,8,0,28,0,0.286,0.36,0.276,0.339,0.39,0.729,14.05,4.26236,15.05,0.335,0.7
1754,"김지찬","삼성",120,336,296,81,74,6,0,1,50,26,27,0,31,23,0.871,0.3,0.274,0.331,0.304,0.635,35.99,4.188491,30.23,0.302,0.7
1339,"오윤석","KT",64,122,95,24,18,4,0,2,14,12,20,0,26,2,0.769,0.328,0.253,0.393,0.358,0.751,15.64,5.413846,17.88,0.364,0.67
1886,"권동진","KT",86,86,67,17,11,5,0,1,21,6,18,0,30,3,0.6,0.444,0.254,0.412,0.373,0.785,11.82,5.91,13.88,0.38,0.66
478,"김헌곤","삼성",118,364,317,89,75,8,2,4,38,27,34,0,46,5,0.739,0.313,0.281,0.355,0.356,0.711,41.29,4.477229,43.09,0.333,0.63
1337,"김재유","롯데",87,192,174,50,41,8,0,1,27,18,10,0,36,7,0.278,0.358,0.287,0.34,0.351,0.691,23.09,4.832791,20.87,0.322,0.6
1923,"김주원","NC",69,189,166,40,27,7,1,5,20,16,17,0,57,6,0.298,0.33,0.241,0.316,0.386,0.702,20.47,4.034234,20.04,0.319,0.6
1669,"추재현","롯데",95,300,262,66,46,15,0,5,37,26,26,0,57,4,0.456,0.305,0.252,0.336,0.366,0.702,33.87,4.417826,34.04,0.328,0.58
221,"박병호","Hero",118,477,409,93,50,23,0,20,48,76,47,3,141,0,0.333,0.286,0.227,0.323,0.43,0.753,59.02,4.785405,57.82,0.336,0.55
1326,"이현석","SSG",39,89,79,21,12,5,0,4,7,19,5,0,29,0,0.172,0.354,0.266,0.302,0.481,0.783,12.27,5.258571,10.93,0.338,0.54
58,"한승택","KIA",82,239,203,44,34,7,0,3,17,16,28,0,61,0,0.459,0.295,0.217,0.321,0.296,0.617,20.33,3.247988,20.91,0.299,0.54
1338,"송성문","Hero",66,274,245,61,44,10,1,6,30,33,25,0,42,0,0.595,0.278,0.249,0.32,0.371,0.691,30.86,4.408571,28.69,0.318,0.53
884,"이성곤","한화",60,206,172,46,31,12,2,1,17,24,29,0,52,0,0.558,0.375,0.267,0.38,0.378,0.758,25.68,5.136,29.19,0.358,0.51
483,"이흥련","SSG",90,146,127,30,24,3,0,3,15,14,12,0,31,0,0.387,0.29,0.236,0.326,0.331,0.657,13.98,3.66466,14.51,0.312,0.51
1894,"문보경","LG",107,329,278,64,44,11,1,8,37,39,46,1,64,3,0.719,0.269,0.23,0.337,0.363,0.7,37.04,4.4448,37.25,0.327,0.51
871,"김민수","삼성",47,87,76,20,12,5,0,3,9,13,6,0,13,0,0.462,0.274,0.263,0.318,0.447,0.765,10.94,4.764194,10.62,0.337,0.5
227,"서건창","LG",68,267,235,58,43,12,1,2,33,25,24,0,34,6,0.706,0.28,0.247,0.323,0.332,0.655,27.24,3.933048,25.57,0.308,0.44
1212,"이형종","LG",90,281,239,52,31,11,0,10,32,34,34,1,65,3,0.523,0.256,0.218,0.332,0.389,0.721,30.78,4.176181,33.4,0.334,0.44
765,"김준태","롯데",47,131,111,23,14,5,0,4,17,15,17,0,35,0,0.486,0.257,0.207,0.313,0.36,0.673,13.71,4.023587,13.09,0.313,0.44
1869,"알몬테","KT",60,250,225,61,45,9,0,7,18,36,22,0,50,1,0.44,0.318,0.271,0.336,0.404,0.74,29.64,4.573029,30.51,0.337,0.43
1415,"최용제","두산",78,119,104,29,26,3,0,0,7,15,11,0,21,0,0.524,0.345,0.279,0.356,0.308,0.664,12.93,4.533896,12.68,0.32,0.39
1705,"김주형","Hero",36,70,50,9,6,3,0,0,5,5,4,0,15,1,0.267,0.257,0.18,0.388,0.24,0.628,6.87,4.215682,8.62,0.338,0.38
1522,"김찬형","NC",17,26,22,8,7,1,0,0,2,1,2,0,5,0,0.4,0.471,0.364,0.44,0.409,0.849,4.36,7.848,4.69,0.401,0.35
333,"강승호","두산",113,340,301,72,47,16,2,7,47,37,22,1,78,8,0.282,0.297,0.239,0.301,0.375,0.676,34.49,3.72492,31.78,0.306,0.35
1873,"안재석","두산",96,224,200,51,39,8,2,2,28,14,16,0,53,1,0.302,0.329,0.255,0.317,0.345,0.662,23.18,3.986369,20.95,0.306,0.34
454,"이지영","Hero",108,258,233,64,58,5,1,0,29,31,19,2,17,3,1.118,0.292,0.275,0.328,0.305,0.633,22.77,3.323189,21.74,0.296,0.32
1563,"호잉","KT",68,294,259,62,39,11,1,11,32,52,26,2,52,5,0.5,0.254,0.239,0.313,0.417,0.73,36.22,4.747282,32.37,0.324,0.32
1690,"신용수","롯데",71,136,119,31,23,5,2,1,23,6,11,0,20,3,0.55,0.303,0.261,0.336,0.361,0.697,15.41,4.426277,14.95,0.324,0.31
226,"김민성","LG",121,426,360,80,50,22,0,8,35,39,42,2,73,3,0.575,0.254,0.222,0.313,0.35,0.663,42.03,3.708529,40.21,0.307,0.31
1760,"최정원","NC",72,238,212,60,54,4,2,0,40,8,18,0,40,9,0.45,0.349,0.283,0.35,0.321,0.671,25.02,4.119146,25.32,0.32,0.3
793,"오태곤","SSG",122,253,235,63,44,10,0,9,47,35,14,0,52,9,0.269,0.309,0.268,0.313,0.426,0.739,30.86,4.578132,29.21,0.33,0.3
1951,"이정범","SSG",19,66,59,15,8,4,0,3,8,9,7,0,15,0,0.467,0.293,0.254,0.333,0.475,0.808,9.49,5.694,9.39,0.359,0.3
1691,"터커","KIA",127,539,468,111,77,24,1,9,42,59,61,1,66,0,0.924,0.258,0.237,0.334,0.35,0.684,57.06,4.152615,58.17,0.322,0.3
1294,"송민섭","KT",122,65,48,11,11,0,0,0,39,7,12,0,22,15,0.545,0.423,0.229,0.383,0.229,0.612,8.3,5.211628,7.12,0.323,0.3
484,"김성표","삼성",39,24,18,6,6,0,0,0,10,1,5,0,7,2,0.714,0.545,0.333,0.478,0.333,0.811,3.69,7.116429,4.48,0.408,0.26
392,"윤형준","NC",51,81,74,22,17,0,0,5,10,10,3,0,17,0,0.176,0.321,0.297,0.321,0.5,0.821,10.83,4.956102,11.27,0.356,0.26
317,"정주현","LG",73,214,181,43,32,7,1,3,26,10,24,0,32,3,0.75,0.272,0.238,0.325,0.337,0.662,20.65,3.620455,21.21,0.312,0.24
1776,"한석현","LG",16,26,21,6,3,2,1,0,5,1,3,0,7,2,0.429,0.4,0.286,0.385,0.476,0.861,4.37,6.940588,4.25,0.382,0.22
1937,"페레즈","한화",59,252,224,60,39,15,1,5,26,33,17,0,52,4,0.327,0.316,0.268,0.321,0.411,0.732,29.7,4.455,28.47,0.327,0.22
79,"노수광","한화",52,180,160,37,27,7,0,3,21,14,17,0,46,13,0.37,0.306,0.231,0.309,0.331,0.64,19.28,4.098898,15.95,0.3,0.22
1420,"이진영","KIA",17,47,40,8,3,2,1,2,8,5,3,0,22,1,0.136,0.375,0.2,0.319,0.45,0.769,6.49,5.475938,6.1,0.345,0.22
319,"최영진","삼성",44,63,57,16,13,1,1,1,9,6,5,0,12,1,0.417,0.341,0.281,0.349,0.386,0.735,8.03,5.162143,7.82,0.339,0.21
1332,"김호령","KIA",62,154,130,27,21,2,0,4,16,15,16,0,44,4,0.364,0.28,0.208,0.322,0.315,0.637,14.89,3.7225,14.7,0.308,0.21
1492,"이정훈","KIA",41,151,129,32,24,6,0,2,14,14,19,0,33,0,0.576,0.319,0.248,0.358,0.341,0.699,16.79,4.5333,18.18,0.335,0.2
1743,"라모스","LG",51,205,185,45,29,7,1,8,14,25,18,0,43,0,0.419,0.276,0.243,0.317,0.422,0.739,25.57,4.861901,24.24,0.333,0.2
471,"최형우","KIA",104,446,373,87,59,15,1,12,52,55,67,10,67,0,1,0.253,0.233,0.354,0.375,0.729,52.53,4.775455,53.1,0.334,0.19
705,"유민상","KIA",24,74,60,14,11,2,0,1,7,6,8,0,18,0,0.444,0.317,0.233,0.378,0.317,0.695,8.26,4.745106,9.56,0.345,0.17
486,"정현","NC",56,120,96,22,18,3,1,0,9,7,14,0,20,0,0.7,0.289,0.229,0.351,0.281,0.632,9.57,2.97,12.2,0.315,0.16
486,"정현","SSG",12,29,21,4,2,2,0,0,5,0,3,0,4,0,0.75,0.235,0.19,0.37,0.286,0.656,2.67,3.6045,3.49,0.335,0.16
1927,"손성빈","롯데",20,22,19,6,6,0,0,0,4,0,3,0,6,0,0.5,0.462,0.316,0.409,0.316,0.725,2.77,5.753077,3.07,0.356,0.15
891,"강한울","삼성",124,258,223,58,53,5,0,0,25,27,29,0,58,2,0.5,0.345,0.26,0.341,0.283,0.624,23.37,3.544888,23.64,0.304,0.15
1448,"남태혁","SSG",12,22,20,6,4,1,0,1,2,4,1,0,7,0,0.143,0.417,0.3,0.364,0.5,0.864,3.35,6.03,3.64,0.385,0.14
1802,"이재원","LG",62,171,154,38,27,6,0,5,22,17,14,0,48,5,0.292,0.324,0.247,0.316,0.383,0.699,19.81,4.45725,18.11,0.319,0.14
754,"신본기","KT",96,206,174,41,32,8,0,1,25,19,22,0,45,1,0.489,0.31,0.236,0.333,0.299,0.632,17.93,3.293265,19.44,0.307,0.14
23,"정범모","NC",19,23,19,4,2,1,0,1,2,5,2,0,4,0,0.5,0.214,0.211,0.318,0.421,0.739,2.02,3.03,2.79,0.336,0.13
1796,"박지훈","두산",34,14,12,4,3,1,0,0,6,2,1,0,3,3,0.333,0.444,0.333,0.429,0.417,0.846,2.53,7.59,2.5,0.399,0.12
595,"최항","SSG",34,79,69,19,16,2,1,0,5,7,6,1,16,1,0.375,0.352,0.275,0.346,0.333,0.679,7.73,3.726964,8.02,0.315,0.12
1797,"박준영","NC",111,315,273,57,40,7,2,8,37,31,27,0,92,4,0.293,0.28,0.209,0.301,0.337,0.638,27.77,3.217983,27.42,0.299,0.12
239,"전민수","NC",71,109,98,25,19,3,0,3,12,16,11,1,23,0,0.478,0.306,0.255,0.33,0.378,0.708,12.35,4.446,11.89,0.323,0.11
1491,"김민수","롯데",82,224,199,48,33,11,1,3,19,25,18,0,62,0,0.29,0.333,0.241,0.312,0.352,0.664,22.55,3.829245,21.28,0.307,0.11
1780,"천성호","KT",41,47,42,12,11,1,0,0,13,4,3,0,9,1,0.333,0.364,0.286,0.362,0.31,0.672,5.36,4.824,5.21,0.325,0.1
86,"전병우","Hero",115,261,214,40,26,8,0,6,35,31,33,0,84,3,0.393,0.272,0.187,0.319,0.308,0.627,25.23,3.7845,24.25,0.305,0.1
328,"이병규","롯데",29,43,34,8,8,0,0,0,4,4,8,0,14,0,0.571,0.4,0.235,0.395,0.235,0.63,3.61,3.481071,5.1,0.333,0.09
896,"박준태","Hero",27,58,46,9,6,3,0,0,10,4,10,0,16,1,0.625,0.3,0.196,0.362,0.261,0.623,5.66,4.13027,6.23,0.321,0.09
